Specimen,Subfamily,Tribe,Genus,Species,Element,Formation,Member,State,Region,Epoch,NALMA,TrueArea(cm2),EnamelLength(cm),OEI
AMNH F:AM 100077,Equinae,Equini,Onohippidium,galushai,P3,Big Sandy,,Arizona,Great Basin,Miocene,Hemphillian,6.997,24.462,9.248
AMNH F:AM 104769,Equinae,"""Merychippini""",Merychippus,sp.,P3,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,2.842,18.971,11.253
AMNH F:AM 107596,Anchitheriinae,"""Anchitheriini""",Hypohippus,sp.,P3,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,6.41,19.674,7.771
AMNH F:AM 108233,Equinae,Hipparionini,Cormohipparion ,sphenodus,P3,Tesuque,,New Mexico,Great Basin,Miocene,Barstovian,5.315,23.296,10.105
AMNH F:AM 109883,Equinae,Hipparionini,"""Hipparion""",sp.,P3,San Jacinto,,Texas,Great Plains,Miocene,Barstovian,3.411,18.36,9.941
AMNH F:AM 110131,Equinae,Equini,Parapliohippus,carrizoensis,P3,Barstow,,California,Great Basin,Miocene,Barstovian,2.561,16.218,10.134
AMNH F:AM 110222,Equinae,Equini,Merychippus,sp.,P3,Barstow,,California,Great Basin,Miocene,Barstovian,5.547,23.636,10.036
AMNH F:AM 110234,Equinae,Equini,Merychippus,sp.,P3,Barstow,,California,Great Basin,Miocene,Barstovian,3.169,17.18,9.651
AMNH F:AM 110343,Anchitheriinae,"""Anchitheriini""",Hypohippus,equinus,P3,Olcott,,Nebraska,Great Plains,Miocene,Barstovian,4.804,17.822,8.131
AMNH F:AM 111728,Equinae,Equini,Protohippus ,supremus,P3,Clarendon,,Texas,Great Plains,Miocene,Clarendonian,6.421,24.598,9.707
AMNH F:AM 114169,Equinae,Equini,Protohippus ,supremus,P3,Clarendon,,Texas,Great Plains,Miocene,Clarendonian,6.218,23.545,9.442
AMNH F:AM 116143,Equinae,Equini,Equus,sp.,P3,Itchetucknee River,,Florida,Gulf Coast,Pleistocene,Irv/Rancho,5.162,22.999,10.123
AMNH F:AM 116148,Equinae,Equini,Equus,sp.,M2,Indio Hills,,California,Great Basin,Pleistocene,Irv/Rancho,5.962,22.424,9.184
AMNH F:AM 116150,Equinae,Equini,Equus,sp.,M2,,,Mexico,Gulf Coast,Pleistocene,Irv/Rancho,7.347,20.957,7.732
AMNH F:AM 116156,Equinae,Equini,Equus,simplicidens ,P3,,,Texas,Great Plains,Pleistocene,Irv/Rancho,7.392,23.748,8.735
AMNH F:AM 116161,Equinae,Equini,Equus,scotti,P3,Las Cruces,,New Mexico,Great Basin,Pleistocene,Irv/Rancho,8.871,25.924,8.704
AMNH F:AM 116164,Equinae,Equini,Dinohippus,interpolatus,P3,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,8.395,25.486,8.796
AMNH F:AM 116179,Equinae,Equini,Equus,scotti,P3,,,New Mexico,Great Basin,Pleistocene,Irv/Rancho,9.934,30.75,9.756
AMNH F:AM 116194,Equinae,Equini,Dinohippus,leidyanus,P3,Ogallala,,Oklahoma,Great Plains,Miocene,Hemphillian,4.572,22.46,10.504
AMNH F:AM 116792,Equinae,Equini,Dinohippus,leidyanus,P3,Ogallala,,Oklahoma,Great Plains,Miocene,Hemphillian,7.816,29.622,10.596
AMNH F:AM 116868,Equinae,Hipparionini,Pseudhipparion ,retrusum,P3,Valentine,,Nebraska,Great Plains,Miocene,Barstovian,2.653,17.784,10.918
AMNH F:AM 117045,Equinae,Hipparionini,Nannippus,sp.,P3,Ash Hollow,Merrit Dam,Nebraska,Great Plains,Miocene,Clarendonian,2.9,20.879,12.261
AMNH F:AM 118223,Equinae,Equini,Calippus,placidus,P3,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,2.33,13.004,8.519
AMNH F:AM 125218,Equinae,Equini,Calippus,martini,P3,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,4.18,19.063,9.324
AMNH F:AM 125488,Equinae,Equini,Calippus,martini,P3,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,6.066,22.353,9.076
AMNH F:AM 125995,Equinae,"""Merychippini""",Merychippus,calamarius,P3,Pawnee Creek,,Colorado,Great Plains,Miocene,Barstovian,4.191,21.181,10.346
AMNH F:AM 126899,Equinae,"""Merychippini""",Merychippus,sp.,P3,Valentine,Devils Gulch,Nebraska,Great Plains,Miocene,Barstovian,3.516,19.557,10.430
AMNH F:AM 127207,Equinae,Hipparionini,Protohippus ,sp. ,P3,Sheep Creek,,Nebraska,Great Plains,Miocene,Hemphillian,1.799,11.825,8.816
AMNH F:AM 127263,Equinae,Equini,Scaphohippus,sumani,P3,Barstow,,California,Great Basin,Miocene,Barstovian,4.39,17.063,8.144
AMNH F:AM 127569,Equinae,Hipparionini,Pseudhipparion ,sp.,P3,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,2.532,15.318,9.627
AMNH F:AM 127992,Equinae,"""Merychippini""",Merychippus,sp. ,P3,Pawnee Creek,,Colorado,Great Plains,Miocene,Clarendonian,3.262,17.418,9.644
AMNH F:AM 128091,Equinae,Equini,Astrohippus,ansae,P3,Ogallala,,Oklahoma,Great Plains,Miocene,Hemphillian,4.536,17.755,8.337
AMNH F:AM 128092,Equinae,Equini,Astrohippus,ansae,P3,Ogallala,,Oklahoma,Great Plains,Miocene,Hemphillian,4.139,18.327,9.008
AMNH F:AM 128154,Equinae,"""Merychippini""",Merychippus,calamarius,P3,Tesuque,,New Mexico,Great Basin,Miocene,Barstovian,4.3,23.183,11.180
AMNH F:AM 128270,Equinae,Equini,Dinohippus,leidyanus,P3,Ogallala,,Oklahoma,Great Plains,Miocene,Hemphillian,5.791,20.689,8.597
AMNH F:AM 128444,Equinae,Equini,Dinohippus,leidyanus,P3,Ogallala,,Oklahoma,Great Plains,Miocene,Hemphillian,5.175,17.909,7.873
AMNH F:AM 142515,Equinae,Equini,Merychippus,n. sp.,P3,Olcott,,Nebraska,Great Plains,Miocene,Clarendonian,3.044,16.464,9.437
AMNH F:AM 143268,Equinae,Hipparionini,Neohipparion,affine,P3,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,5.123,22.159,9.790
AMNH F:AM 143273,Equinae,"""Merychippini""",Merychippus,sp.,P3,Tesuque,,New Mexico,Great Basin,Miocene,Barstovian,5.73,26.763,11.180
AMNH F:AM 14396,Equinae,Equini,Equus,occidentalis,P3,Rancho La Brea Asphalt,,California,California ,Pleistocene,Irv/Rancho,8.263,28.303,9.846
AMNH F:AM 20077,Equinae,Equini,Equus,simplicidens ,P3,Blanco,,Texas,Great Plains,Pliocene,Blancan,11.899,28.732,8.329
AMNH F:AM 21085,Anchitheriinae,"""Anchitheriini""",Megahippus,sp.,P3,Barstow,,California,Great Basin,Miocene,Barstovian,6.117,18.358,7.423
AMNH F:AM 30702,Equinae,Equini,Equus,sp.,P3,Fairbanks,,Alaska,Polar,Pleistocene,Irv/Rancho,7.48,28.443,10.400
AMNH F:AM 30703,Equinae,Equini,Equus,sp.,P3,Fairbanks ,,Alaska,Polar,Pleistocene,Irv/Rancho,6.128,25.975,10.493
AMNH F:AM 42810,Equinae,Equini,Equus,sp.,P3,Papago Spring Cave,,Arizona,Great Basin,Pleistocene,Irv/Rancho,5.789,25.17,10.461
AMNH F:AM 42811,Equinae,Equini,Equus,sp.,P3,Papago Spring Cave,,Arizona,Great Basin,Pleistocene,Irv/Rancho,6.068,22.448,9.113
AMNH F:AM 60061,Equinae,Equini,Equus,sp.,P3,Fairbanks Creek,,Alaska,Polar,Pleistocene,Irv/Rancho,6.62,23.243,9.034
AMNH F:AM 60062,Equinae,Equini,Equus,sp.,P3,Fairbanks Creek,,Alaska,Polar,Pleistocene,Irv/Rancho,6.638,26.301,10.208
AMNH F:AM 60066,Equinae,Equini,Equus,sp.,P3,Fairbanks Creek,,Alaska,Polar,Pleistocene,Irv/Rancho,8.271,31.574,10.979
AMNH F:AM 60300,Equinae,Equini,Merychippus,n. sp.,P3,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,3.283,17.991,9.929
AMNH F:AM 60327,Equinae,Equini,Merychippus,n. sp.,P3,Clarendon,,Texas,Great Plains,Miocene,Clarendonian,2.142,15.248,10.418
AMNH F:AM 60420,Equinae,Equini,Calippus,regulus,P3,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,2.14,13.069,8.934
AMNH F:AM 60500,Anchitheriinae,"""Anchitheriini""",Hypohippus,n. sp.,P3,Ash Hollow,,Nebraska,Great Plains,Miocene,Clarendonian,11.457,26.081,7.705
AMNH F:AM 60561,Anchitheriinae,"""Anchitheriini""",Hypohippus,sp.,P3,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,6.406,18.565,7.335
AMNH F:AM 60618,Anchitheriinae,"""Anchitheriini""",Hypohippus,sp.,P3,Olcott,,Nebraska,Great Plains,Miocene,Barstovian,5.28,18.249,7.942
AMNH F:AM 60627,Anchitheriinae,"""Anchitheriini""",Hypohippus,sp.,P3,,,Texas,Great Plains,,,3.389,15.931,8.654
AMNH F:AM 60700,Anchitheriinae,"""Anchitheriini""",Megahippus,matthewi,P3,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,7.699,22.95,8.271
AMNH F:AM 60720,Anchitheriinae,"""Anchitheriini""",Megahippus,sp.,P3,Pawnee Creek,,Colorado,Great Plains,Miocene,Barstovian,4.452,18.377,8.710
AMNH F:AM 60878,Equinae,Equini,Pliohippus,pernix,P3,Clarendon,,Texas,Great Plains,Miocene,Clarendonian,6.859,27.391,10.459
AMNH F:AM 60880,Equinae,Equini,Pliohippus,sp.,P3,Clarendon,,Texas,Great Plains,Miocene,Clarendonian,5.003,24.383,10.901
AMNH F:AM 60904,Equinae,Equini,Pliohippus,sp.,P3,Clarendon,,Texas,Great Plains,Miocene,Clarendonian,7.996,25.258,8.932
AMNH F:AM 60905,Equinae,Equini,Pliohippus,sp.,P3,Tesuque,,New Mexico,Great Basin,Miocene,Barstovian,5.061,21.399,9.512
AMNH F:AM 69500,Equinae,"""Merychippini""",Merychippus,coloradense,P3,Tesuque,Chamael Rito,New Mexico,Great Basin,Miocene,Clarendonian,4.275,21.225,10.265
AMNH F:AM 69503,Equinae,"""Merychippini""",Merychippus,coloradense,P3,Sante Fe,,New Mexico,Great Basin,Miocene,Clarendonian,5.14,21.828,9.628
AMNH F:AM 69506,Equinae,"""Merychippini""",Merychippus,coloradense,P3,Ogallala,,Colorado,Great Plains,Miocene,Barstovian,2.872,14.885,8.783
