TRT,Tank,Contact Coral,Species,Contact Reading,Fv/Fm
Future,3,No Contact,M. cavernosa,No Contact Coral,571
Future,3,No Contact,M. cavernosa,No Contact Coral,520
Future,3,No Contact,M. cavernosa,No Contact Coral,538
Future,4,No Contact,M. cavernosa,No Contact Coral,295
Future,4,No Contact,M. cavernosa,No Contact Coral,407
Future,4,No Contact,M. cavernosa,No Contact Coral,327
Future,5,No Contact,M. cavernosa,No Contact Coral,405
Future,5,No Contact,M. cavernosa,No Contact Coral,438
Future,5,No Contact,M. cavernosa,No Contact Coral,392
Future,7,No Contact,M. cavernosa,No Contact Coral,523
Future,7,No Contact,M. cavernosa,No Contact Coral,500
Future,7,No Contact,M. cavernosa,No Contact Coral,433
Future,9,No Contact,M. cavernosa,No Contact Coral,600
Future,9,No Contact,M. cavernosa,No Contact Coral,559
Future,9,No Contact,M. cavernosa,No Contact Coral,522
Future,10,No Contact,M. cavernosa,No Contact Coral,356
Future,10,No Contact,M. cavernosa,No Contact Coral,357
Future,10,No Contact,M. cavernosa,No Contact Coral,328
Future,3,Contact,M. cavernosa,Contact Coral,451
Future,3,Contact,M. cavernosa,Contact Coral,479
Future,4,Contact,M. cavernosa,Contact Coral,595
Future,4,Contact,M. cavernosa,Contact Coral,500
Future,5,Contact,M. cavernosa,Contact Coral,560
Future,5,Contact,M. cavernosa,Contact Coral,555
Future,7,Contact,M. cavernosa,Contact Coral,576
Future,7,Contact,M. cavernosa,Contact Coral,524
Future,9,Contact,M. cavernosa,Contact Coral,603
Future,9,Contact,M. cavernosa,Contact Coral,494
Future,10,Contact,M. cavernosa,Contact Coral,403
Future,10,Contact,M. cavernosa,Contact Coral,470
Future,3,Contact,M. cavernosa,Contact Location,0
Future,4,Contact,M. cavernosa,Contact Location,0
Future,5,Contact,M. cavernosa,Contact Location,0
Future,7,Contact,M. cavernosa,Contact Location,0
Future,9,Contact,M. cavernosa,Contact Location,0
Future,10,Contact,M. cavernosa,Contact Location,0
Present,1,No Contact,M. cavernosa,No Contact Coral,656
Present,1,No Contact,M. cavernosa,No Contact Coral,534
Present,1,No Contact,M. cavernosa,No Contact Coral,537
Present,2,No Contact,M. cavernosa,No Contact Coral,565
Present,2,No Contact,M. cavernosa,No Contact Coral,443
Present,2,No Contact,M. cavernosa,No Contact Coral,495
Present,6,No Contact,M. cavernosa,No Contact Coral,608
Present,6,No Contact,M. cavernosa,No Contact Coral,486
Present,6,No Contact,M. cavernosa,No Contact Coral,564
Present,8,No Contact,M. cavernosa,No Contact Coral,585
Present,8,No Contact,M. cavernosa,No Contact Coral,595
Present,8,No Contact,M. cavernosa,No Contact Coral,491
Present,11,No Contact,M. cavernosa,No Contact Coral,424
Present,11,No Contact,M. cavernosa,No Contact Coral,468
Present,11,No Contact,M. cavernosa,No Contact Coral,396
Present,12,No Contact,M. cavernosa,No Contact Coral,646
Present,12,No Contact,M. cavernosa,No Contact Coral,582
Present,12,No Contact,M. cavernosa,No Contact Coral,583
Present,1,Contact,M. cavernosa,Contact Coral,500
Present,1,Contact,M. cavernosa,Contact Coral,527
Present,2,Contact,M. cavernosa,Contact Coral,552
Present,2,Contact,M. cavernosa,Contact Coral,508
Present,6,Contact,M. cavernosa,Contact Coral,588
Present,6,Contact,M. cavernosa,Contact Coral,637
Present,8,Contact,M. cavernosa,Contact Coral,616
Present,8,Contact,M. cavernosa,Contact Coral,648
Present,11,Contact,M. cavernosa,Contact Coral,505
Present,11,Contact,M. cavernosa,Contact Coral,486
Present,12,Contact,M. cavernosa,Contact Coral,422
Present,12,Contact,M. cavernosa,Contact Coral,428
Present,1,Contact,M. cavernosa,Contact Location,0
Present,2,Contact,M. cavernosa,Contact Location,0
Present,6,Contact,M. cavernosa,Contact Location,0
Present,8,Contact,M. cavernosa,Contact Location,0
Present,11,Contact,M. cavernosa,Contact Location,0
Present,12,Contact,M. cavernosa,Contact Location,0
