trt_number,day_food,food_amount,sex,weight,day_pupation,
1,day 6,1 mg,F,1.93,10,
1,day 6,1 mg,F,2.06,11,
1,day 6,1 mg,F,1.73,11,
1,day 6,1 mg,F,1.98,11,
1,day 6,1 mg,F,2.36,12,
1,day 6,1 mg,F,2.75,12,
1,day 6,1 mg,F,1.96,12,
1,day 6,1 mg,F,2.49,12,
1,day 6,1 mg,F,1.98,13,
1,day 6,1 mg,F,1.62,15,
2,day 6,2 mg,F,3.46,9,
2,day 6,2 mg,F,3.17,10,
2,day 6,2 mg,F,2.93,10,
2,day 6,2 mg,F,3.04,11,
2,day 6,2 mg,F,2.76,11,
2,day 6,2 mg,F,2.85,11,
2,day 6,2 mg,F,3.16,11,
2,day 6,2 mg,F,2.90,12,
3,day 6,3 mg,F,3.98,10,
3,day 6,3 mg,F,3.55,10,
3,day 6,3 mg,F,3.59,10,
3,day 6,3 mg,F,3.76,11,
3,day 6,3 mg,F,3.84,11,
4,day 8,1 mg,F,2.25,12,
4,day 8,1 mg,F,1.88,13,
4,day 8,1 mg,F,2.59,14,
4,day 8,1 mg,F,1.96,14,
4,day 8,1 mg,F,1.91,14,
4,day 8,1 mg,F,1.99,14,
5,day 8,2 mg,F,2.69,13,
5,day 8,2 mg,F,2.74,13,
5,day 8,2 mg,F,3.03,13,
5,day 8,2 mg,F,2.73,13,
5,day 8,2 mg,F,2.94,13,
5,day 8,2 mg,F,2.59,15,
6,day 8,3 mg,F,3.61,12,
6,day 8,3 mg,F,3.35,13,
6,day 8,3 mg,F,3.39,14,
6,day 8,3 mg,F,3.18,14,
6,day 8,3 mg,F,3.91,14,
1,day 6,1 mg,M,1.09,8,
1,day 6,1 mg,M,1.31,8,
1,day 6,1 mg,M,1.77,9,
1,day 6,1 mg,M,1.56,9,
1,day 6,1 mg,M,1.66,9,
1,day 6,1 mg,M,2.04,10,
1,day 6,1 mg,M,1.68,10,
1,day 6,1 mg,M,1.73,10,
1,day 6,1 mg,M,1.86,11,
1,day 6,1 mg,M,1.82,11,
2,day 6,2 mg,M,1.13,7,
2,day 6,2 mg,M,1.63,8,
2,day 6,2 mg,M,2.01,9,
2,day 6,2 mg,M,1.89,9,
2,day 6,2 mg,M,1.90,9,
2,day 6,2 mg,M,2.43,9,
2,day 6,2 mg,M,2.25,10,
2,day 6,2 mg,M,2.36,10,
2,day 6,2 mg,M,2.41,10,
2,day 6,2 mg,M,1.46,11,
3,day 6,3 mg,M,1.68,8,
3,day 6,3 mg,M,2.22,9,
3,day 6,3 mg,M,2.12,9,
3,day 6,3 mg,M,2.40,9,
3,day 6,3 mg,M,2.58,9,
3,day 6,3 mg,M,2.09,9,
3,day 6,3 mg,M,2.44,9,
3,day 6,3 mg,M,2.58,10,
3,day 6,3 mg,M,2.29,10,
3,day 6,3 mg,M,2.25,11,
4,day 8,1 mg,M,1.63,12,
4,day 8,1 mg,M,2.21,12,
4,day 8,1 mg,M,1.70,12,
4,day 8,1 mg,M,1.57,12,
4,day 8,1 mg,M,1.50,12,
4,day 8,1 mg,M,1.48,13,
5,day 8,2 mg,M,2.03,11,
5,day 8,2 mg,M,2.19,11,
5,day 8,2 mg,M,2.38,11,
5,day 8,2 mg,M,2.26,12,
5,day 8,2 mg,M,2.31,12,
5,day 8,2 mg,M,2.36,12,
5,day 8,2 mg,M,2.44,12,
5,day 8,2 mg,M,2.30,13,
5,day 8,2 mg,M,2.18,13,
6,day 8,3 mg,M,2.09,11,
6,day 8,3 mg,M,2.05,12,
6,day 8,3 mg,M,2.47,12,
6,day 8,3 mg,M,2.09,12,
6,day 8,3 mg,M,2.61,14,
