species,common_name,trial_number,larval_stage,days_post_hatch,degree_days_age,acclimation_temp_C,larval_id,warming_rate_C,body_length_mm,CTmax_C
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT020,0.5,7.277,18.5
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT042,0.5,10.61133333,23.9
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT043,0.5,7.73,26
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT044,0.5,9.835333333,26.7
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT046,0.5,7.245,27.4
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT045,0.5,7.097,27.5
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT047,0.5,7.314466667,27.5
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT048,0.5,7.3189,27.5
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT021,0.5,NA,NA
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT001,1,6.740932568,15
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT002,1,7.314763847,15.1
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT003,1,6.738666667,16.7
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT014,1,7.397666667,25.2
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT015,1,7.866,25.8
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT016,1,7.611333333,26.1
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT017,1,7.648333333,26.3
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT018,1,7.445,26.4
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT019,1,7.891666667,26.9
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT013,1,NA,NA
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT004,2,9.475,24.1
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT005,2,9.491666667,24.4
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT006,2,7.481333333,25.3
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT009,2,7.544333333,27.9
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT010,2,7.059333333,27.9
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT007,2,7.464666667,28
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT008,2,7.236333333,28
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT011,2,6.191,28
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT012,2,7.439666667,28
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT024,4,8.172333333,25.7
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT025,4,8.146333333,27
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT026,4,7.985666667,27
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT027,4,8.242333333,27
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT028,4,7.587,27
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT029,4,8.291666667,27
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT030,4,8.094666667,27
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT031,4,8.094666667,27
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT032,4,7.838333333,27
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT023,8,7.832333333,23
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT034,8,7.691666667,25.4
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT036,8,7.723333333,25.4
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT035,8,6.773158441,25.5
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT037,8,7.27,25.8
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT038,8,7.721333333,27
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT039,8,7.795,27
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT040,8,7.643666667,28.7
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT041,8,7.313666667,28.8
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT049,Control,8.217333333,NA
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT050,Control,7.609833333,NA
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT051,Control,10.14763333,NA
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT052,Control,8.869433333,NA
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT053,Control,8.4028,NA
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT054,Control,8.4688,NA
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT055,Control,9.3568,NA
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT056,Control,8.334533333,NA
Clupea harengus,Herring,1,Yolk-sac,1,9,9,CT057,Control,7.747933333,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT130,0.5,8.885666667,13.1
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT154,0.5,12.07866667,14.1
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT150,0.5,10.04633333,21.4
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT162,0.5,12.35333333,21.5
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT168,0.5,11.975,23
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT169,0.5,10.06766667,23.9
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT170,0.5,10.47,24.4
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT171,0.5,9.539,24.4
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT172,0.5,13.33833333,25
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT125,1,9.73,14.8
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT126,1,11.23933333,15.4
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT129,1,11.411,18
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT131,1,9.829,20.1
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT132,1,11.40966667,20.5
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT144,1,9.026333333,23
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT143,1,11.763,23.5
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT113,1,NA,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT133,1,NA,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT120,2,8.787666667,13.5
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT118,2,9.677333333,14
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT119,2,8.187333333,19
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT121,2,8.147666667,19
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT122,2,9.855333333,19.9
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT123,2,8.633333333,20
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT124,2,9.182,20.9
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT127,2,11.99333333,23.9
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT128,2,13.47,23.9
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT152,4,12.943,22.9
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT153,4,9.714666667,22.9
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT155,4,13.491,24.3
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT156,4,9.684333333,24.7
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT157,4,11.60633333,24.7
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT158,4,8.760333333,24.7
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT159,4,12.11866667,25.9
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT160,4,9.76,25.9
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT151,4,NA,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT135,8,10.73,23.8
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT136,8,9.005333333,23.8
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT137,8,11.288,23.8
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT138,8,8.890666667,24
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT139,8,12.67866667,25.9
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT140,8,11.856,26.5
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT141,8,8.022666667,26.6
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT142,8,8.418333333,26.7
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT134,8,NA,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT116,Control,7.747,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT133,Control,8.142666667,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT147,Control,11.169,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT161,Control,9.527333333,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT163,Control,11.21466667,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT164,Control,9.637666667,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT165,Control,8.230333333,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT166,Control,8.781666667,NA
Clupea harengus,Herring,2,Feeding larva,20,140,7,CT167,Control,11.72166667,NA
Clupea harengus,Herring,3,Feeding larva,45,327,7,CT264,1,12.98708784,19.5
Clupea harengus,Herring,3,Feeding larva,45,327,7,CT265,1,11.92731532,21.5
Clupea harengus,Herring,3,Feeding larva,45,327,7,CT266,1,16.3948018,22.5
Clupea harengus,Herring,3,Feeding larva,45,327,7,CT267,1,15.09410586,22.5
Clupea harengus,Herring,3,Feeding larva,45,327,7,CT268,1,16.22417342,23
Clupea harengus,Herring,3,Feeding larva,45,327,7,CT269,1,13.64584685,23.5
Clupea harengus,Herring,3,Feeding larva,45,327,7,CT270,1,17.14333559,24
Clupea harengus,Herring,3,Feeding larva,45,327,7,CT271,1,15.15752703,24
Clupea harengus,Herring,3,Feeding larva,45,327,7,CT263,1,NA,NA
Clupea harengus,Herring,3,Feeding larva,45,327,7,CT255,2,13.15009234,19
